taxon_id	Domain	Status	Study	Genome_Name	Sequencing_Center	IMG_ID	Phylum	Class	Order	Family	Genus	Species	taxid	Strain	Genome_Size	Gene_Count	score2
t637000095	Bacteria	Finished	Desulfovibrio desulfuricans G20	Desulfovibrio alaskensis G20	DOE Joint Genome Institute (JGI)	637000095	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio alaskensis	207559	G20	3730232	3874	NA
t647533194	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Pediococcus acidilactici 7_4	Broad Institute	647533194	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici	563194	7_4	2017988	1890	NA
t646862322	Bacteria	Finished	Escherichia coli O44:H18 042 (EAEC)	Escherichia coli O44:H18 042 (EAEC)	Wellcome Trust Sanger Institute, Institut Pasteur	646862322	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	216592	042 (EAEC)	5355323	5153	NA
t637000306	Bacteria	Finished	Symbiobacterium thermophilum IAM 14863	Symbiobacterium thermophilum IAM 14863	Kitasato University, National Institute of Infectious Diseases, Japan, Nihon University	637000306	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium thermophilum	292459	JCM 14929, DSM 24528	3566135	3518	NA
t648276757	Bacteria	Permanent Draft	Vibrio parahaemolyticus K5030	Vibrio parahaemolyticus K5030	J. Craig Venter Institute (JCVI)	648276757	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus	627611	K5030	5028244	4746	NA
t643692030	Bacteria	Finished	Persephonella marina EX-H1	Persephonella marina EX-H1	J. Craig Venter Institute (JCVI)	643692030	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Persephonella	Persephonella marina	123214	EX-H1	1983966	2095	NA
t643886139	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Lactobacillus paracasei 8700:2	Broad Institute	643886139	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei	537973	8700:02	2978271	3002	NA
t641522638	Bacteria	Finished	LGT in Methylobacteria Proposal # 0165-051130	Methylobacterium radiotolerans JCM 2831	DOE Joint Genome Institute (JGI)	641522638	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium radiotolerans	426355	JCM 2831	6899110	6510	NA
t651324054	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Lachnospiraceae bacterium 6_1_63FAA	Broad Institute	651324054	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	Lachnospiraceae bacterium 6_1_63FAA	658083	6_1_63FAA	2723336	2682	NA
t643692054	Bacteria	Finished	Vibrio cholerae MJ-1236	Vibrio cholerae MJ-1236	Los Alamos National Laboratory	643692054	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	593588	MJ-1236	4236368	3894	NA
t643348568	Bacteria	Finished	Pseudomonas aeruginosa LESB58	Pseudomonas aeruginosa LESB58	Wellcome Trust Sanger Institute	643348568	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	557722	LESB58	6601757	6026	NA
t2507262031	Bacteria	Finished	Halorespiring Firmicutes (reseq) - Exploring genomic plasticity of closely related dedicated degraders with diverging ecophysiological features and bioremediating capacity	Desulfitobacterium dehalogenans JW/IU-DC1, ATCC 51507	DOE Joint Genome Institute (JGI)	2507262031	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium	Desulfitobacterium dehalogenans	756499	JW/IU-DC1, ATCC 51507	4321753	4252	NA
t639633034	Bacteria	Finished	Lactic Acid Bacteria	Leuconostoc mesenteroides mesenteroides ATCC 8293	DOE Joint Genome Institute (JGI), Fidelity Systems Inc	639633034	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides	203120	ATCC 8293	2075763	2119	NA
t640963039	Bacteria	Permanent Draft	Caminibacter mediatlanticus TB-2	Caminibacter mediatlanticus TB-2	J. Craig Venter Institute (JCVI)	640963039	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Caminibacter	Caminibacter mediatlanticus	391592	TB-2	1663618	1894	NA
t651053011	Bacteria	Finished	Brucella melitensis M5-90	Brucella melitensis M5-90	Chinese National Human Genome Center at Shanghai	651053011	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella melitensis	703352	M5-90	3312229	3424	NA
t637000241	Bacteria	Finished	Rhodospirillum rubrum ATCC 11170	Rhodospirillum rubrum S1, ATCC 11170	DOE Joint Genome Institute (JGI)	637000241	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum rubrum	269796	S1, ATCC 11170	4406557	3933	NA
t650716087	Bacteria	Finished	Streptococcus gallolyticus gallolyticus ATCC BAA-2069	Streptococcus gallolyticus gallolyticus ATCC BAA-2069	Ruhr University Bochum	650716087	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gallolyticus	990317	ATCC BAA-2069	2377209	2430	NA
t647533191	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Paenibacillus sp. D14	Broad Institute	647533191	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. oral taxon 786	621372	D14	5097411	4532	NA
t642791613	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Bacteroides coprocola M16, DSM 17136	Washington University in St. Louis	642791613	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprocola	470145	M16, DSM 17136	4295617	4394	NA
t2512564076	Bacteria	Finished	Complete genome sequence of 23 Rickettsia strains	Rickettsia prowazekii GvV257	Los Alamos National Laboratory	2512564076	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia prowazekii	1105098	GvV257	1111969	865	NA
t651324102	Bacteria	Finished	Streptococcus parauberis NCFD 2020	Streptococcus parauberis NCFD 2020	J. Craig Venter Institute (JCVI)	651324102	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parauberis	1348	NCFD 2020	2164480	2222	NA
t648231710	Bacteria	Finished	Genome sequencing of Helicobacter pylori, Washington University Medical School	Helicobacter pylori Sat464	Washington University in St. Louis	648231710	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	794851	Sat464	1567570	1550	NA
t646311950	Bacteria	Finished	Robiginitalea biformata HTCC2501	Robiginitalea biformata HTCC2501	J. Craig Venter Institute (JCVI)	646311950	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea	Robiginitalea biformata	313596	HTCC2501	3530383	3255	NA
t646862344	Bacteria	Finished	Staphylococcus aureus aureus TW20 0582	Staphylococcus aureus aureus TW20 0582	Wellcome Trust Sanger Institute	646862344	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	663951	TW20 0582	3075806	2977	NA
t648276639	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Enterococcus faecalis TX0855	Washington University in St. Louis	648276639	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	749511	TX0855	2985907	3086	NA
t640427119	Bacteria	Finished	Legionella pneumophila Corby	Legionella pneumophila Corby	Leibniz Institute	640427119	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	400673	Corby	3576470	3266	NA
t2511231197	Bacteria	Finished	Staphylococcus aureus subsp. aureus LGA251	Staphylococcus aureus aureus LGA251	Wellcome Trust Sanger Institute	2511231197	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	985006	LGA251	2753827	2589	NA
t648276698	Bacteria	Permanent Draft	Mycobacterium tuberculosis SUMu strains- Broad Institute	Mycobacterium tuberculosis SUMu006	Broad Institute	648276698	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	675517	SUMu006	4328768	4241	NA
t641228501	Bacteria	Finished	Prochlorococcus marinus sequencing - JCVI	Prochlorococcus marinus MIT9211	J. Craig Venter Institute (JCVI)	641228501	Cyanobacteria	unclassified	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	93059	MIT9211	1688963	1901	NA
t642979350	Bacteria	Permanent Draft	Mycobacterium tuberculosis sequencing- Broad Institute	Mycobacterium tuberculosis GM 1503	Broad Institute	642979350	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	537209	GM 1503	4261330	4163	NA
t647000288	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Pasteurella dagmatis ATCC 43325	Baylor College of Medicine	647000288	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella dagmatis	667128	ATCC 43325	2246389	2109	NA
t646564515	Bacteria	Finished	CSP_777420	Burkholderia sp. CCGE1002	DOE Joint Genome Institute (JGI)	646564515	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. CCGE1002	640511	CCGE1002	7884858	7358	NA
t647533161	Bacteria	Permanent Draft	Escherichia coli genome sequencing - Broad Institute	Escherichia coli FVEC1412	Broad Institute	647533161	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	656380	FVEC1412	5234178	4934	NA
t650377968	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Ruminococcus sp. SR1/5	Wellcome Trust Sanger Institute	650377968	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. SR1/5	657323	SR1/5	3545606	3313	NA
t646564545	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Meiothermus ruber 21, DSM 1279	DOE Joint Genome Institute (JGI)	646564545	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus	Meiothermus ruber	504728	21, DSM 1279	3097457	3105	NA
t646564561	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Propionibacterium acnes SK137	J. Craig Venter Institute (JCVI)	646564561	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	553199	SK137	2495334	2408	NA
t648276673	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Eubacterium yurii margaretiae ATCC 43715	Baylor College of Medicine	648276673	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoanaerobacter	[Eubacterium] yurii	864565	ATCC 43715	2470055	2184	NA
t651053070	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Staphylococcus aureus aureus TCH60	Baylor College of Medicine	651053070	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	548473	TCH60	2827166	2789	NA
t644736381	Bacteria	Finished	Lactobacillus plantarum JDM1	Lactobacillus plantarum JDM1	Shanghai Jiao Tong University	644736381	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	644042	JDM1	3197759	3026	NA
t637000029	Bacteria	Finished	Baumannia cicadellinicola Hc	Baumannia cicadellinicola Hc	J. Craig Venter Institute (JCVI)	637000029	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	Candidatus Baumannia cicadellinicola	374463	Hc	686194	655	NA
t647000240	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Enterococcus faecalis S613	Washington University in St. Louis	647000240	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	699185	S613	3042101	3143	NA
t2511231158	Bacteria	Finished	Buchnera aphidicola Ua	Buchnera aphidicola Ua	Yale University	2511231158	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola	1005057	Ua	627953	590	NA
t2512047057	Bacteria	Permanent Draft	Clostridioides difficile ATCC 43255	Clostridioides difficile ATCC 43255	McGill University, Genome Quebec	2512047057	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	499175	VPI 10463	4204780	3959	NA
t643886015	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Actinomyces urogenitalis DSM 15434	Baylor College of Medicine	643886015	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis	525246	DSM 15434	2614023	2453	NA
t639633060	Bacteria	Finished	Solibacter usitatus Ellin6076	Candidatus Solibacter usitatus Ellin6076	DOE Joint Genome Institute (JGI)	639633060	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	Candidatus Solibacter	Candidatus Solibacter usitatus	234267	Ellin6076	9965640	8003	NA
t642979342	Bacteria	Permanent Draft	Salmonella enterica enterica sv Typhi E02-1180	Salmonella enterica enterica sv. Typhi E02-1180	Wellcome Trust Sanger Institute	642979342	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	497974	E02-1180	4740622	4565	NA
t637000314	Bacteria	Finished	Synechococcus sp. WH8102	Synechococcus sp. WH8102	DOE Joint Genome Institute (JGI)	637000314	Cyanobacteria	unclassified	Chroococcales	unclassified	Synechococcus	sp.	84588	WH8102	2434428	2588	NA
t641736240	Bacteria	Permanent Draft	Mycobacterium tuberculosis H37Ra	Mycobacterium tuberculosis H37Ra	Beijing Genomics Institute (BGI)	641736240	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	419947	H37Ra	4326442	4489	NA
t646862327	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Escherichia coli O150:H5 SE15	University of Tokyo	646862327	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	431946	SE15	4839683	4594	NA
t649633080	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Paludibacter propionicigenes WB4, DSM 17365	DOE Joint Genome Institute (JGI)	649633080	Bacteroidetes	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Paludibacter propionicigenes	694427	WB4, DSM 17365	3685504	3118	NA
t643886062	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Lactobacillus buchneri ATCC 11577	Baylor College of Medicine	643886062	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus buchneri	525318	ATCC 11577	2858741	3062	NA
t637000251	Bacteria	Finished	Salmonella enterica enterica sv Choleraesuis SC-B67	Salmonella enterica enterica sv. Choleraesuis SC-B67	Chang Gung University	637000251	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	321314	SC-B67	4944000	4996	NA
t637000239	Bacteria	Finished	Rhodopseudomonas palustris CGA009	Rhodopseudomonas palustris CGA009	Institute of Molecular Genetics of the ASCR, v. v. i., DOE Joint Genome Institute (JGI)	637000239	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris	258594	CGA009	5467640	4918	NA
t645951809	Bacteria	Permanent Draft	Neisseria gonorrhoeae DGI2	Neisseria gonorrhoeae DGI2	Broad Institute	645951809	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	528348	DGI2	2093927	2285	NA
t2512047079	Bacteria	Permanent Draft	Vibrio scophthalmi LMG 19158	Vibrio scophthalmi LMG 19158	U.S. Food and Drug Administration	2512047079	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio scophthalmi	870967	LMG 19158	4854288	4656	NA
t640427122	Bacteria	Finished	Mycobacteria, 5 strains	Mycobacterium gilvum PYR-GCK	DOE Joint Genome Institute (JGI)	640427122	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium gilvum	350054	PYR-GCK	5982829	5683	NA
t640753030	Bacteria	Finished	Janthinobacterium sp. Marseille	Janthinobacterium sp. Marseille	Centre National de la Recherche Scientifique (CNRS)	640753030	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. Marseille	375286	Marseille	4110251	3763	NA
t637000089	Bacteria	Finished	Dehalococcoides ethenogenes 195	Dehalococcoides mccartyi 195	J. Craig Venter Institute (JCVI)	637000089	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	243164	195	1469720	1647	NA
t637000019	Bacteria	Finished	Bacillus clausii KSM-K16	Bacillus clausii KSM-K16	Kao Corporation, Japan	637000019	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus clausii	66692	KSM-K16	4303871	4261	NA
t641522620	Bacteria	Finished	Corynebacterium urealyticum DSM 7109	Corynebacterium urealyticum DSM 7109	Bielefeld University	641522620	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium urealyticum	504474	DSM 7109	2369219	2084	NA
t639633062	Bacteria	Finished	Lactic Acid Bacteria	Streptococcus thermophilus LMD-9	Fidelity Systems Inc, DOE Joint Genome Institute (JGI)	639633062	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	322159	LMD-9	1864178	1820	NA
t648276656	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Escherichia coli MS 182-1	Washington University in St. Louis	648276656	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	749545	MS 182-1	4982225	5436	NA
t650377934	Bacteria	Finished	Escherichia coli W, ATCC 9739	Escherichia coli W, ATCC 9637	Korea Research Institute of Bioscience and Biotechnology	650377934	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	566546	W	5008864	4879	NA
t2511231094	Bacteria	Finished	Pseudogulbenkiania sp. NH8B	Pseudogulbenkiania sp. NH8B	Hokkaido University	2511231094	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Pseudogulbenkiania	Pseudogulbenkiania sp. NH8B	748280	NH8B	4332995	4124	NA
t640427129	Bacteria	Finished	Polynucleobacter	Polynucleobacter necessarius asymbioticus QLW-P1DMWA-1	DOE Joint Genome Institute (JGI)	640427129	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter asymbioticus	312153	QLW-P1DMWA-1	2159490	2136	NA
t637000315	Bacteria	Finished	Synechocystis sp. PCC 6803	Synechocystis sp. PCC 6803	Kazusa DNA Research Institute	637000315	Cyanobacteria	unclassified	Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6803	1148	PCC 6803	3947019	3628	NA
t649989974	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Mobiluncus curtisii holmesii ATCC 35242	Baylor College of Medicine	649989974	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus curtisii	887899	ATCC 35242	2087529	1881	NA
t649990001	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Streptococcus anginosus 1_2_62CV	Broad Institute	649990001	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus	742820	1_2_62CV	1815537	1831	NA
t650377954	Bacteria	Finished	Lactobacillus delbrueckii bulgaricus 2038	Lactobacillus delbrueckii bulgaricus 2038	Chinese National Human Genome Center at Shanghai	650377954	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	353496	2038	1872918	1907	NA
t640612202	Bacteria	Permanent Draft	Algoriphagus machipongonensis PR1	Algoriphagus machipongonensis PR1	Broad Institute, J. Craig Venter Institute (JCVI)	640612202	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	Algoriphagus machipongonensis	388413	PR1	4776234	4265	NA
t637000008	Bacteria	Finished	Anaplasma marginale St. Maries	Anaplasma marginale St. Maries	Amplicon Express Inc.	637000008	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	Anaplasma marginale	234826	St. Maries	1197687	1006	NA
t649633018	Bacteria	Finished	Bifidobacterium longum longum BBMN68	Bifidobacterium longum longum BBMN68	Beijing Genomics Institute (BGI)	649633018	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	890402	BBMN68	2265943	1870	NA
t645951838	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Lactobacillus antri DSM 16041	Baylor College of Medicine	645951838	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus antri	525309	DSM 16041	2242444	2285	NA
t2510065015	Bacteria	Permanent Draft	Genome sequencing of representative photosynthetic purple sulfur bacteria	Thiorhodococcus drewsii AZ1	DOE Joint Genome Institute (JGI)	2510065015	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiorhodococcus	Thiorhodococcus drewsii	765913	AZ1	5507213	4767	NA
t2512564065	Bacteria	Finished	Streptococcus pyogenes MGAS15252	Streptococcus pyogenes MGAS15252	The Methodist Hospital System	2512564065	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes	798300	MGAS15252	1750832	1735	NA
t650377930	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Enterococcus sp. 7L76	Wellcome Trust Sanger Institute	650377930	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 7L76	657310	7L76	3096657	2348	NA
t637000324	Bacteria	Finished	Thiobacillus denitrificans Sequencing	Thiobacillus denitrificans ATCC 25259	DOE Joint Genome Institute (JGI)	637000324	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Thiobacillus	Thiobacillus denitrificans	292415	ATCC 25259	2909809	2886	NA
t643886147	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Corynebacterium glucuronolyticum ATCC 51867	Baylor College of Medicine	643886147	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glucuronolyticum	548477	ATCC 51867	2784713	2701	NA
t646564557	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Nocardiopsis dassonvillei dassonvillei DSM 43111	DOE Joint Genome Institute (JGI)	646564557	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis dassonvillei	446468	DSM 43111	6543312	5647	NA
t645058764	Bacteria	Permanent Draft	DOEM_782007	Thermoanaerobacter ethanolicus CCSD1	DOE Joint Genome Institute (JGI)	645058764	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter ethanolicus	589861	CCSD1	2204850	2425	NA
t642979343	Bacteria	Permanent Draft	Salmonella enterica enterica sv Typhi E01-6750	Salmonella enterica enterica sv. Typhi E01-6750	Wellcome Trust Sanger Institute	642979343	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	497975	E01-6750	4584108	7454	NA
t640753059	Bacteria	Finished	Xanthobacter autotrophicus strain Py2	Xanthobacter autotrophicus Py2	DOE Joint Genome Institute (JGI)	640753059	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacter	Xanthobacter autotrophicus	78245	Py2	5625098	5169	NA
t650716076	Bacteria	Finished	Pseudomonas putida S16	Pseudomonas putida S16	Shanghai Jiao Tong University	650716076	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	1042876	S16	5984790	5307	NA
t647533154	Bacteria	Permanent Draft	Genome Sequencing of Enterococcus, Broad Institute	Enterococcus faecium Com15	Broad Institute	647533154	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	565663	Com15	2801855	2786	NA
t650716026	Bacteria	Finished	Leaf Cutter and Ant Microbe Symbiosis	Cellulosilyticum lentocellum RHM5, DSM 5427	DOE Joint Genome Institute (JGI)	650716026	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum	Cellulosilyticum lentocellum	642492	RHM5, DSM 5427	4714237	4416	NA
t639633002	Bacteria	Finished	Acidovorax genus	Acidovorax avenae citrulli AAC00-1	DOE Joint Genome Institute (JGI)	639633002	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax citrulli	397945	AAC00-1	5352772	4868	NA
t648276620	Bacteria	Permanent Draft	Atopobium vaginae DSM 15829	Atopobium vaginae DSM 15829	Stanford University	648276620	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium vaginae	525256	DSM 15829	1418601	1248	NA
t644736323	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Actinosynnema mirum 101, DSM 43827	DOE Joint Genome Institute (JGI)	644736323	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	Actinosynnema mirum	446462	101, DSM 43827	8248144	7176	NA
t644736364	Bacteria	Finished	Escherichia coli genome sequencing - Genoscope	Escherichia coli O45:K1 S88	CEA Genoscope	644736364	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	585035	S88	5166121	5037	NA
t646564554	Bacteria	Finished	Mycoplasma crocodyli MP145	Mycoplasma crocodyli MP145	J. Craig Venter Institute (JCVI)	646564554	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma crocodyli	512564	MP145	934379	731	NA
t648276738	Bacteria	Permanent Draft	Streptococcus mitis SK597	Streptococcus mitis SK597	University of Maryland School of Medicine	648276738	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis	585204	SK597	2029198	1901	NA
t648028058	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Sulfurimonas autotrophica OK10, DSM 16294	DOE Joint Genome Institute (JGI)	648028058	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas autotrophica	563040	OK10, DSM 16294	2153198	2220	NA
t646564566	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Segniliparus rotundus CDC 1076, DSM 44985	DOE Joint Genome Institute (JGI)	646564566	Actinobacteria	Actinobacteria	Corynebacteriales	Segniliparaceae	Segniliparus	Segniliparus rotundus	640132	CDC 1076, DSM 44985	3157527	3126	NA
t643692020	Bacteria	Finished	Deinococcus deserti VCD115	Deinococcus deserti VCD115	CEA Genoscope	643692020	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus deserti	546414	VCD115	3855329	3511	NA
